archivoId,field,value,k,tinta,patron,frac_max,intensidad
69e00779d7b6147f63e9cbb3,partido_01,6,1,100,LEFT,0.1474,170
69e00779d7b6147f63e9cbb3,partido_02,1,1,100,LEFT,0.1216,170
69e00779d7b6147f63e9cbb3,partido_03,23,2,110,LEFT,0.1239,170
69e00779d7b6147f63e9cbb3,partido_05,1,1,100,LEFT,0.1167,170
69e00779d7b6147f63e9cbb3,partido_06,4,1,100,LEFT,0.1658,170
69e00779d7b6147f63e9cbb3,partido_10,3,1,100,LEFT,0.1439,170
69e00779d7b6147f63e9cbb3,partido_11,12,2,110,LEFT,0.1405,170
69e00779d7b6147f63e9cbb3,partido_12,1,1,100,LEFT,0.1386,170
69e00779d7b6147f63e9cbb3,partido_13,1,1,100,LEFT,0.1145,170
69e00779d7b6147f63e9cbb3,partido_15,2,1,100,LEFT,0.1342,170
69e00779d7b6147f63e9cbb3,partido_16,29,2,110,LEFT,0.1739,170
69e00779d7b6147f63e9cbb3,partido_17,4,1,100,LEFT,0.1053,170
69e00779d7b6147f63e9cbb3,partido_20,1,1,100,LEFT,0.1482,170
69e00779d7b6147f63e9cbb3,partido_21,16,2,110,LEFT,0.1523,170
69e00779d7b6147f63e9cbb3,partido_22,2,1,100,LEFT,0.1737,170
69e00779d7b6147f63e9cbb3,partido_23,1,1,100,LEFT,0.1145,170
69e00779d7b6147f63e9cbb3,partido_24,7,1,100,LEFT,0.1816,170
69e00779d7b6147f63e9cbb3,partido_31,1,1,100,LEFT,0.1061,170
69e00779d7b6147f63e9cbb3,partido_33,6,1,100,LEFT,0.0915,170
69e00779d7b6147f63e9cbb3,partido_34,3,1,100,LEFT,0.1605,170
69e00779d7b6147f63e9cbb3,votos_blanco,21,2,110,LEFT,0.1459,170
69e00779d7b6147f63e9cbb3,votos_nulos,17,2,110,LEFT,0.1465,170
69e00779d7b6147f63e9cbb3,total_ciudadanos,162,3,0111,RIGHT,0.1145,170
69e2c744d7b6147f63ecf91d,partido_01,1,1,111,RIGHT,0.2219,157
69e2c744d7b6147f63ecf91d,partido_03,15,2,110,LEFT,0.1043,157
69e2c744d7b6147f63ecf91d,partido_05,1,1,100,LEFT,0.1254,157
69e2c744d7b6147f63ecf91d,partido_06,8,1,100,LEFT,0.2711,157
69e2c744d7b6147f63ecf91d,partido_09,1,1,100,LEFT,0.1596,157
69e2c744d7b6147f63ecf91d,partido_10,1,1,100,LEFT,0.1851,157
69e2c744d7b6147f63ecf91d,partido_11,9,1,100,LEFT,0.1423,157
69e2c744d7b6147f63ecf91d,partido_12,3,1,100,LEFT,0.2132,157
69e2c744d7b6147f63ecf91d,partido_16,3,1,100,LEFT,0.1559,157
69e2c744d7b6147f63ecf91d,partido_17,2,1,100,LEFT,0.1702,157
69e2c744d7b6147f63ecf91d,partido_21,27,2,110,LEFT,0.1595,157
69e2c744d7b6147f63ecf91d,partido_23,1,1,100,LEFT,0.1205,157
69e2c744d7b6147f63ecf91d,partido_24,6,1,100,LEFT,0.1289,157
69e2c744d7b6147f63ecf91d,partido_25,2,1,100,LEFT,0.1378,157
69e2c744d7b6147f63ecf91d,partido_27,1,1,100,LEFT,0.1,157
69e2c744d7b6147f63ecf91d,partido_31,2,1,100,LEFT,0.2202,157
69e2c744d7b6147f63ecf91d,partido_33,18,2,110,LEFT,0.1607,157
69e2c744d7b6147f63ecf91d,partido_35,1,1,100,LEFT,0.2018,157
69e2c744d7b6147f63ecf91d,partido_36,1,1,100,LEFT,0.1439,157
69e2c744d7b6147f63ecf91d,votos_blanco,89,2,110,LEFT,0.136,157
69e2c744d7b6147f63ecf91d,votos_nulos,13,2,100,LEFT,0.1491,157
69e2c744d7b6147f63ecf91d,total_ciudadanos,205,3,0111,RIGHT,0.1282,157
69dc54cfd7b6147f63e5afd2,partido_01,2,1,100,LEFT,0.15,169
69dc54cfd7b6147f63e5afd2,partido_02,1,1,100,LEFT,0.1189,169
69dc54cfd7b6147f63e5afd2,partido_03,8,1,100,LEFT,0.1769,169
69dc54cfd7b6147f63e5afd2,partido_06,12,2,010,MEDIO,0.1789,169
69dc54cfd7b6147f63e5afd2,partido_10,9,1,100,LEFT,0.2325,169
69dc54cfd7b6147f63e5afd2,partido_11,22,2,110,LEFT,0.1414,169
69dc54cfd7b6147f63e5afd2,partido_12,2,1,100,LEFT,0.1386,169
69dc54cfd7b6147f63e5afd2,partido_13,1,1,100,LEFT,0.0778,169
69dc54cfd7b6147f63e5afd2,partido_15,6,1,100,LEFT,0.1342,169
69dc54cfd7b6147f63e5afd2,partido_16,3,1,100,LEFT,0.1955,169
69dc54cfd7b6147f63e5afd2,partido_17,6,1,100,LEFT,0.0939,169
69dc54cfd7b6147f63e5afd2,partido_21,56,2,110,LEFT,0.1288,169
69dc54cfd7b6147f63e5afd2,partido_22,8,1,100,LEFT,0.2333,169
69dc54cfd7b6147f63e5afd2,partido_23,1,1,???,AMBIGUO,0.0624,169
69dc54cfd7b6147f63e5afd2,partido_24,12,2,010,MEDIO,0.2079,169
69dc54cfd7b6147f63e5afd2,partido_25,4,1,100,LEFT,0.1937,169
69dc54cfd7b6147f63e5afd2,partido_26,24,2,110,LEFT,0.2123,169
69dc54cfd7b6147f63e5afd2,partido_31,1,1,100,LEFT,0.0719,169
69dc54cfd7b6147f63e5afd2,partido_32,4,1,100,LEFT,0.2237,169
69dc54cfd7b6147f63e5afd2,partido_33,9,1,100,LEFT,0.1778,169
69dc54cfd7b6147f63e5afd2,partido_37,1,1,100,LEFT,0.0754,169
69dc54cfd7b6147f63e5afd2,votos_blanco,29,2,110,LEFT,0.2369,169
69dc54cfd7b6147f63e5afd2,votos_nulos,18,2,010,MEDIO,0.2132,169
69dc54cfd7b6147f63e5afd2,total_ciudadanos,239,3,0111,RIGHT,0.1872,169
69dc5048d7b6147f63e5a44a,partido_01,1,1,001,RIGHT,0.157,148
69dc5048d7b6147f63e5a44a,partido_03,11,2,011,RIGHT,0.1538,148
69dc5048d7b6147f63e5a44a,partido_06,26,2,011,RIGHT,0.2798,148
69dc5048d7b6147f63e5a44a,partido_10,1,1,001,RIGHT,0.2781,148
69dc5048d7b6147f63e5a44a,partido_11,4,1,001,RIGHT,0.2126,148
69dc5048d7b6147f63e5a44a,partido_12,1,1,001,RIGHT,0.3439,148
69dc5048d7b6147f63e5a44a,partido_15,12,2,111,RIGHT,0.236,148
69dc5048d7b6147f63e5a44a,partido_16,3,1,101,OTRO,0.2315,148
69dc5048d7b6147f63e5a44a,partido_21,8,1,111,RIGHT,0.1414,148
69dc5048d7b6147f63e5a44a,partido_23,1,1,011,RIGHT,0.2624,148
69dc5048d7b6147f63e5a44a,partido_24,18,2,110,LEFT,0.0939,148
69dc5048d7b6147f63e5a44a,partido_31,1,1,101,OTRO,0.3395,148
69dc5048d7b6147f63e5a44a,partido_32,1,1,001,RIGHT,0.0798,148
69dc5048d7b6147f63e5a44a,partido_33,40,2,100,LEFT,0.1291,148
69dc5048d7b6147f63e5a44a,partido_38,1,1,001,RIGHT,0.2051,148
69dc5048d7b6147f63e5a44a,votos_blanco,9,1,???,AMBIGUO,0.0604,148
69dc5048d7b6147f63e5a44a,total_ciudadanos,138,3,1111,RIGHT,0.2231,148
69e22147d7b6147f63ec8db0,partido_01,3,1,100,LEFT,0.1579,164
69e22147d7b6147f63ec8db0,partido_02,3,1,100,LEFT,0.2153,164
